aconteceu;adaptação;agora;ano;ante;apenas;após;aterrorizante;bob;busca;casal;casamento;cidade;começo;competição;contando;contra;cura;danny;decidir;deparam;derrotar;descobre;descobrem;descobrir;destruir;dia;diversão;doi;encontrar;enfrentando;enquanto;entra;estados;eventos;existência;família;faz;fica;filha;filho;filme;fim;foca;forças;grupo;grãbretanha;gêmeos;herói;história;homem;humana;idealista;ilha;improvável;infectados;investigação;irmãos;jornada;jovem;justiça;lugar;maiores;meio;michael;missão;morte;muda;mudar;mundo;mãe;nova;pai;pais;passado;país;pode;polícia;porém;precisa;primeiro;relacionamento;relação;retorna;revela;rico;rumo;salvar;segredos;serem;simple;sobre;sobreviventes;sociedade;tarde;tempo;tenta;tentam;terror;toda;todos;traz;treinar;trás;tudo;unidos;união;vai;verdade;vez;vida;vidas;vive;vivendo;vírus;york
0.5281829658499662;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4861496433292958;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5281829658499662;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4535460654251841;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3955744423629209;0.0;0.0;0.3955744423629209;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3955744423629209;0.0;0.3955744423629209;0.0;0.0;0.0;0.0;0.0;0.0;0.33967629309618247;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.31972538006038437;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3955744423629209;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.5180531486092452;0.3753877804939921;0.0;0.0;0.3470005327455034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.562844902294831;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3917922864310892;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.20734222970093427;0.0;0.0;0.3095508069868296;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3363150946606926;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3363150946606926;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3095508069868296;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.28879081263249956;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.28879081263249956;0.0;0.0;0.3363150946606926;0.0;0.0;0.0;0.3363150946606926;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3095508069868296;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2243043801526204;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.4081702631867948;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4081702631867948;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3584302611389336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4434613562715968;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3807963647245505;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4434613562715968;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2926358916137253;0.0;0.0;0.2926358916137253;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2926358916137253;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.31793768702200015;0.0;0.0;0.31793768702200015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2926358916137253;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2730102943913806;0.0;0.0;0.2730102943913806;0.0;0.0;0.0;0.2730102943913806;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2926358916137253;0.0;0.0;0.0;0.0;0.0;0.31793768702200015;0.0;0.0;0.0;0.0;0.0;0.0;0.2120476212540412;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.2493292718712951;0.32101024058374616;0.0;0.0;0.0;0.37383664828132684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.37383664828132684;0.0;0.0;0.0;0.0;0.0;0.3021556795688758;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.32101024058374616;0.0;0.0;0.0;0.0;0.3021556795688758;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.37383664828132684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2602250008567255;0.0;0.0;0.0;0.0;0.0;0.2493292718712951;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5053188006875431;0.0;0.46510503103126977;0.3517487810421386;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43391280797629816;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.46510503103126977;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.38285464666567026;0.0;0.0;0.0;0.0;0.0;0.0;0.38285464666567026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.30944453004059774;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3523866954398319;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3523866954398319;0.3287539164492632;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.38285464666567026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3287539164492632;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.2968888372658458;0.0;0.21315634292824043;0.0;0.0;0.3182309656019913;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3457457545085675;0.0;0.0;0.0;0.3457457545085675;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3457457545085675;0.0;0.0;0.0;0.24067113183481662;0.3182309656019913;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3182309656019913;0.0;0.0;0.0;0.2968888372658458;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24067113183481662;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
