title,year,streamings,synopsis_introduction,synopsis_content,just_watch_rating,rotten_tomatoes_rating,imdb_ratings,genres,movie_duration,age_classification
A Noite Sempre Chega(2025),(2025),"['Netflix', 'Netflix Standard with Ads', 'Amazon Prime Video']",,"Lynette (Vanessa Kirby) fica preocupada com a vida de sua mãe e seu irmão Kenny, tendo que salvar sua família do despejo. Embarcando pelo submundo do crime, ela se torna uma anti-heroína para arrecadar o dinheiro necessário.",68%(727),53%,5.9  (11k),"['Mistério & Thriller', 'Drama', 'Crime', 'Crime Sombrio']",1h 48min,16
28 Anos Depois(2025),(2025),"['Apple TV', 'Apple TV', 'Apple TV', 'Amazon Prime Video', 'Claro tv+', 'Amazon Video', 'Amazon Video', 'Netflix']",,"28 anos após a praga de infectados violentos atingir a Grã-Bretanha, um grupo isolado em uma ilha, vive aparado por um muro. Quando um jovem sai da ilha em uma missão importante, ele descobre novos horrores e mutações que impactaram os infectados e os sobreviventes.",81%(2.8k),88%,6.7  (127k),"['Mistério & Thriller', 'Terror', 'Ficção Científica', 'Suspense de Terror']",1h 55min,18
28 Dias Depois(2002),(2002),"['HBO Max Amazon Channel', 'Apple TV', 'Apple TV', 'Apple TV', 'Amazon Prime Video', 'Amazon Video', 'Amazon Video', 'Claro video', 'HBO Max Amazon Channel', 'HBO Max']",,"Quando um vírus sem cura espalha pelo Reino Unido em 28 dias, os infectados se tornam assassinos mortos-vivos. Enquanto isso, os pouco sobreviventes tentam achar um santuário antes que seja tarde de mais.",94%(20k),87%,7.5  (516k),"['Terror', 'Ficção Científica', 'Mistério & Thriller', 'Drama', 'Ficção Científica de Zumbi']",1h 53min,16
Anora(2024),(2024),"['Amazon Prime Video', 'Apple TV', 'Amazon Prime Video', 'Apple TV', 'Amazon Prime Video', 'Apple TV', 'Cinemark', 'Amazon Video', 'Amazon Video', 'Claro video', 'Amazon Prime Video with Ads']",,"Anora, uma jovem trabalhadora do sexo, é levada para fora da sua vida cotidiana como dançarina erótica pelo filho impulsivo de um oligarca russo. Eles se casam, mas os pais do noivo farão de tudo para anular a união.",82%(11k),93%,7.4  (224k),"['Comédia', 'Drama', 'Romance', 'Drama Emocionante', 'Comédia Dramática']",2h 19min,16
Céus e Infernos(2025),(2025),"['Apple TV+', 'Apple TV+', 'Apple TV Plus Amazon Channel', 'Apple TV+']",,"Neste filme da A24, o magnata da música, David King (Denzel Washington), é conhecido como um dos melhores do ramo. Mas quando tentam raptar o seu filho, ele fica preso em um dilema moral complexo em meio ao resgate.",57%(502),86%,5.7  (15k),"['Mistério & Thriller', 'Drama', 'Crime']",2h 13min,16
Lilo & Stitch(2025),(2025),"['Disney Plus', 'Disney Plus', 'Amazon Prime Video']",,"Após perder os pais, Lilo mora com sua irmã, Nani, levando uma vida solitária, quando conhece Stitch. Pensando que o pequeno alienígena é um cachorro, Lilo tenta treinar essa máquina de caos, mas ele traz mais confusões para a vida das irmãs. Apesar disso, eles formam uma conexão improvável, que demonstra o verdadeiro significado de família.",89%(2.4k),72%,6.8  (72k),"['Família', 'Fantasia', 'Ficção Científica', 'Ação & Aventura', 'Comédia', 'Drama', 'Live-Action']",1h 48min,10
O Match Perfeito(2025),(2025),"['UCIcinemas', 'Cinesystem Cinemas', 'Amazon Prime Video']",,"Lucy (Dakota Johnson) é uma casamenteira de sucesso que busca encontrar o amor perfeito para todos os seus clientes. Porém, na sua vida pessoal ela fica em meio a um triângulo amoroso após começar um relacionamento com um homem rico (Pedro Pascal) e reencontrar um antigo amor imperfeito (Chris Evans).",78%(977),79%,6.3  (51k),"['Drama', 'Comédia', 'Romance', 'Comédia Romântica']",1h 56min,14
Do Universo de John Wick: Ballerina(2025),(2025),"['Apple TV', 'Apple TV', 'Apple TV', 'Amazon Prime Video', 'Claro tv+', 'Amazon Video', 'Amazon Video', 'Claro video']",,"A academia de dança não é para é uma simples escola de ballet e, sim, uma escola de assassinas. Esta bailarina (Ana de Armas) usa todo o seu treinamento para se vingar de todos os responsáveis pela morte de sua família.",91%(2.4k),76%,6.9  (98k),"['Mistério & Thriller', 'Crime', 'Ação & Aventura', 'Thriller de Ação']",2h 5min,18
Juntos(2025),(2025),"['JustWatch', 'Amazon Prime Video']",,"Tim e Millie encontram-se numa encruzilhada na sua relação quando se mudam para o campo, abandonando tudo o que lhes é familiar, exceto um ao outro. Com as tensões já exacerbadas, um encontro com uma força misteriosa e sobrenatural ameaça corromper as suas vidas, o seu amor e os seus corpos.",88%(627),90%,6.8  (35k),"['Terror', 'Romance', 'Ficção Científica', 'Comédia Romântica']",1h 41min,16
Incendies - A Mulher que Canta(2010),(2010),"['Reserva Imovision Amazon Channel', 'Amazon Prime Video']",,"Em um filme de Denis Villeneuve, os irmãos gêmeos, Jeanne e Simon, vão ao notário para descobrir mais sobre o testamento após perderem a mãe. Apenas na morte, eles descobrem que sua mãe deixou dois envelopes, um para seu pai (que acreditavam estar morto) e um para seu irmão (que não sabiam da existência), lançando os gêmeos em uma jornada sobre o passado de sua mãe.",92%(5.3k),91%,8.3  (236k),"['Drama', 'Europeu', 'Guerra & Militar', 'Drama de Guerra']",2h 11min,14
