title                                                , year  , streamings                                                                                                                                                                                                                                                                                                              , synopsis_introduction, synopsis_content                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , just_watch_rating, rotten_tomatoes_rating, imdb_ratings, genres                                                                                                                                                        , movie_duration             , age_classification
Missão: Impossível - Ajuste de Contas Parte Um(2023) , (2023), "['Apple TV', 'Apple TV', 'Apple TV', 'Amazon Prime Video', 'Claro tv+', 'Amazon Video', 'Amazon Video', 'Claro video', 'Telecine Amazon Channel']"                                                                                                                                                                     ,                      , "Para impedir que uma arma que ameaça toda a humanidade acabe nas mãos erradas, Ethan e sua equipe vão em uma missão que os leva por diversas partes do mundo, enfrentando forças sombrias novas e antigas. Com um inimigo poderoso e perigoso atrás dessa arma mortal, Ethan tem que colocar essa missão acima de tudo—até mesmo das pessoas mais próximas a ele."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , 94%(15k)         , 96%                   , 7.6  (311k) , "['Ação & Aventura', 'Mistério & Thriller', 'Thriller de Ação']"                                                                                              , 2h 44min                   , 12
Terra de Idiotas(2006)                               , (2006), "['Netflix', 'Amazon Prime Video']"                                                                                                                                                                                                                                                                                     ,                      , "Joe Bauers (Luke Wilson), um americano comum, é selecionado pelo Pentágono para participar de um programa de hibernação. Ele é esquecido no projeto e, 500 anos depois, acorda no futuro. Joe descobre uma nova sociedade e, gradualmente, percebe que as pessoas são completamente idiotas."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , NAOAVALIADO      , NAOAVALIADO           ,             , ['1h 24min']                                                                                                                                                  , 14                         , Estados Unidos
A Seita(2024)                                        , (2024), "['HBO Max Amazon Channel', 'HBO Max Amazon Channel', 'HBO Max', 'Amazon Prime Video', 'HBO Max  Amazon Channel']"                                                                                                                                                                                                      ,                      , "Um psicólogo social (Eric Bana) investiga um culto ligado a eventos obscuros, sem imaginar que sua filha possa estar envolvida nele."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , 47%(291)         , 24%                   , 5.0  (6k)   , "['Terror', 'Mistério & Thriller', 'Drama', 'Thriller de Mistério']"                                                                                          , 1h 34min                   , 16
The Conjuring - A Evocação(2013)                     , (2013), "['Apple TV', 'Apple TV', 'Apple TV', 'Amazon Prime Video', 'Claro tv+', 'Amazon Video', 'Amazon Video', 'HBO Max']"                                                                                                                                                                                                    ,                      , "Antes de Amityville, existia Harrisville. Em 1971, dois célebres investigadores do paranormal, Ed e Lorraine Warren, são chamados para ajudar uma família aterrorizada por uma obscura presença numa fazenda isolada. Forçados a confrontar uma entidade demoníaca poderosa, os Warren são apanhados no caso mais assustador das suas vidas."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , NAOAVALIADO      , NAOAVALIADO           , 7.5  (596k) , "['Terror', 'Mistério & Thriller', 'Terror Paranormal']"                                                                                                      , 1h 52min                   , 14
O Padrinho(1972)                                     , (1972), "['Paramount+ Amazon Channel', 'Apple TV', 'Apple TV', 'Apple TV', 'Amazon Prime Video', 'Oldflix', 'Paramount Plus', 'Amazon Video', 'Amazon Video', 'Paramount+ Amazon Channel', 'Telecine Amazon Channel', 'Paramount Plus Premium']"                                                                                ,                      , "Baseado no best-seller de Mário Puzo, o filme acompanha o percurso de Don Vito Corleone, o patriarca de uma das mais notáveis e importantes famílias da máfia italiana de Nova Iorque."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , 96%(41k)         , 97%                   , 9.2  (2m)   , "['Crime', 'Drama', 'Crime Organizado']"                                                                                                                      , 2h 55min                   , 14
Acompanhante Perfeita(2025)                          , (2025), "['HBO Max Amazon Channel', 'Apple TV', 'Apple TV', 'Apple TV', 'Amazon Prime Video', 'Claro tv+', 'Amazon Video', 'Amazon Video', 'HBO Max Amazon Channel', 'HBO Max']"                                                                                                                                                ,                      , "Quando um bilionário morre, Iris e seus amigos são lançados em uma terrível jornada durante sua viagem. Em um filme de terror de Drew Hancock, eles acabam em um fim de semana repleto de horrores."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , 92%(7.2k)        , 93%                   , 6.9  (139k) , "['Ficção Científica', 'Mistério & Thriller', 'Terror', 'Thriller de Mistério']"                                                                              , 1h 37min                   , 16
A Substância(2024)                                   , (2024), "['Apple TV', 'Apple TV', 'Apple TV', 'Amazon Prime Video', 'Cinepolis Cinemas', 'MUBI Amazon Channel', 'Amazon Video', 'Amazon Video', 'MUBI']"                                                                                                                                                                        ,                      , "A atriz Elizabeth Sparkle é demitida após anos devido a sua idade e aparência, sendo considerada ""velha demais"". Por isso, ela recorre a uma substância que promete um rejuvenescimento milagroso. A substância a transforma completamento em uma versão mais jovem e bela, mas Elizabeth começa aos poucos perder o controle de sua própria vida."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , 80%(18k)         , 89%                   , 7.2  (336k) , "['Drama', 'Terror', 'Ficção Científica', 'Ação e Aventura']"                                                                                                 , 2h 21min                   , 18
Silêncio(2017)                                       , (2017), "['Amazon Prime Video', 'Amazon Prime Video', 'Amazon Prime Video with Ads', 'Amazon Prime Video']"                                                                                                                                                                                                                     ,                      , "No século XVII, dois padres jesuítas portugueses embarcam para o Japão em busca de seu mentor, Padre Ferreira (Liam Neeson). Juntos, Sebastião (Andrew Garfield) e Francisco (Adam Driver) enfrentam a perseguição perigosa em um lugar em que sua fé foi banida, testando seus limites e crenças."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , 82%(3k)          , 83%                   , 7.2  (129k) , "['História', 'Drama', 'Drama de Época']"                                                                                                                     , 2h 41min                   , 14
Sei O Que Fizeste No Verão Passado(2025)             , (2025), "['Apple TV', 'Apple TV', 'Apple TV', 'Amazon Prime Video', 'Claro tv+', 'Amazon Video']"                                                                                                                                                                                                                               ,                      , "Após causarem um acidente de carro, cinco jovens escondem um segredo terrível. Por isso, um maníaco começa a persegui-los, trazendo sangue e segredos à tona. Agora, os amigos pedem ajuda aos sobreviventes do Massacre de Southport de 1997 para lidar com esse assassino aterrorizante."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , 72%(444)         , 36%                   , 5.2  (23k)  , "['Mistério & Thriller', 'Terror']"                                                                                                                           , 1h 51min                   , 16
Haverá Sangue(2007)                                  , (2007), "['Apple TV', 'Apple TV', 'Apple TV', 'Amazon Prime Video', 'Amazon Video', 'Amazon Video']"                                                                                                                                                                                                                            ,                      , "Quando Plainview recebe uma misteriosa dica de que numa pequena cidade do Oeste um oceano de petróleo está revelar-se à superfície, dirige-se até lá com o seu filho, H.W., para tentar a sua sorte na pequena e pobre Little Boston. Nesta miserável cidade onde a maior atenção está nos fervorosos seguidores da igreja do carismático pregador Eli Sunday, Daniel Plainview e H.W. ganham a sorte grande comprando terras e descobrindo mais e mais poços de petróleo por explorar. Com o decorrer do tempo e o aumento da fortuna, nada se mantém igual e à medida que os conflitos vão aumentando todos os valores humanos – amor, esperança, comunidade, fé, ambição e mesmo os laços que unem pais e filhos – são ameaçados pela corrupção, pela decepção, ao ritmo dos fluxos de petróleo."                                                            , 93%(15k)         , 91%                   , 8.2  (681k) , "['Drama', 'Drama Emocionante']"                                                                                                                              , 2h 38min                   , 14
A Última Missão(2025)                                , (2025), "['Amazon Prime Video', 'Apple TV', 'Amazon Prime Video', 'Apple TV', 'Amazon Prime Video', 'Amazon Prime Video with Ads']"                                                                                                                                                                                             ,                      , "Russel (Eddie Murphy) é motorista de caminhões blindados junto a Travis (Pete Davidson) quando criminosos os atacam. Agora, os dois acabam em meio a um plano de roubo inesperado que acaba em caos."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , 74%(1.1k)        , 25%                   , 5.4  (13k)  , "['Ação & Aventura', 'Comédia', 'Crime', 'Ação e Comédia']"                                                                                                   , 1h 34min                   , 14
O Homem do Norte(2022)                               , (2022), "['Apple TV', 'Apple TV', 'Apple TV', 'Amazon Prime Video', 'Netflix', 'Netflix Standard with Ads', 'Amazon Video', 'Amazon Video', 'Claro video']"                                                                                                                                                                     ,                      , "Situado na viragem do século X, na Islândia, acompanha o príncipe viking Amleth enquanto procura vingar o assassinato do pai."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , 79%(21k)         , 90%                   , 7.0  (286k) , "['Ação & Aventura', 'Fantasia', 'Drama', 'História', 'Mistério & Thriller', 'Ação e Aventura', 'Drama de Época']"                                            , 2h 17min                   , 18
O Último Azul(2025)                                  , (2025), "['UCIcinemas', 'Cinesystem Cinemas', 'Amazon Prime Video']"                                                                                                                                                                                                                                                            ,                      , "Em um futuro distópico, uma mulher de 77 anos mora em uma cidade na Amazônia quando é obrigada a abandonar sua casa. Com o governo obrigando ela a residir numa colônia habitacional para idosos, ela embarca em uma jornada pelos rios para criar seu próprio destino."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , 65%(32)          , 100%                  , 7.3         , "['Drama', 'Fantasia', 'Ficção Científica', 'Ação & Aventura', 'Drama de Ficção Científica']"                                                                 , 1h 25min                   , 14
Vício Intrínseco(2014)                               , (2014), "['HBO Max Amazon Channel', 'Apple TV', 'Apple TV', 'Apple TV', 'Amazon Prime Video', 'Amazon Video', 'Amazon Video', 'HBO Max Amazon Channel', 'HBO Max']"                                                                                                                                                             ,                      , "O novo longa dirigido por Paul Thomas Anderson contará a história de um detetive particular que investiga o sequestro de um bilionário latifundiário. Joaquin Phoenix interpreta o protagonista da história, papel que quase foi de Robert Downey Jr. Adaptação de livro homônimo de Thomas Pynchon."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , 79%(1.9k)        , 73%                   , 6.6  (115k) , "['Drama', 'Comédia', 'Crime', 'Romance', 'Comédia Dramática', 'Policiais e Crimes', 'Thriller de Mistério']"                                                 , 2h 29min                   , 18
Os Suspeitos do Costume(1995)                        , (1995), ['Amazon Prime Video']                                                                                                                                                                                                                                                                                                  ,                      , "Quando um navio carregado de drogas explode no cais de Los Angeles, deixando 27 mortos, a investigação recai sobre os únicos sobreviventes: Verbal Kint (Kevin Spacey), um pequeno ladrão coxo com uma língua afiada, e um mafioso húngaro à beira da morte. O que parece ser um acidente industrial revela-se uma teia de traição arquitetada pelo lendário Keyser Söze — um fantasma criminoso tão implacável que alguns duvidam de sua existência."                                                                                                                                                                                                                                                                                                                                                                                                          , 97%(20k)         , 87%                   , 8.5  (1m)   , "['Drama', 'Crime', 'Mistério & Thriller', 'Assalto', 'Crime Sombrio']"                                                                                       , 1h 46min                   , 16
Apanhado a Roubar(2025)                              , (2025), "['UCIcinemas', 'Cinesystem Cinemas', 'Amazon Prime Video']"                                                                                                                                                                                                                                                            ,                      , "O ex-jogador de baseball, Hank (Austin Butler), tem uma vida boa como um barman junto a sua linda namorada. Quando seu vizinho pede para ele cuidar de seu gato, Hank acaba envolvido com gângsteres perigosos, brigas violentas, mafiosos russos, policiais corruptos e assassinos de aluguel."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , 88%(214)         , 85%                   , 7.3  (13k)  , "['Mistério & Thriller', 'Comédia', 'Crime']"                                                                                                                 , 1h 47min                   , 16
Vidas Passadas(2023)                                 , (2023), "['Apple TV', 'Apple TV', 'Apple TV', 'Amazon Prime Video', 'Amazon Video', 'Amazon Video', 'Telecine Amazon Channel']"                                                                                                                                                                                                 ,                      , "Nora e Hae Sung, dois amigos de infância profundamente ligados, são separados quando a família de Nora emigra da Coreia do Sul. Duas décadas mais tarde, reencontram-se em Nova Iorque durante uma semana funesta enquanto lidam com noções de destino e amor e repensam as escolhas que fazem uma vida."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , NAOAVALIADO      , NAOAVALIADO           , 7.8  (160k) , "['Romance', 'Drama', 'Drama Romântico']"                                                                                                                     , 1h 46min                   , "Coreia do Sul, Estados Unidos"
A Criada(2016)                                       , (2016), "['FilmBox+', 'Amazon Prime Video']"                                                                                                                                                                                                                                                                                    ,                      , "Nos anos 30 na Coreia do Sul, a jovem Sookee trabalha para Hideko em uma vida isolada durante a ocupação japonesa. O que ninguém suspeita é que Sooke é uma vigarista planejando roubar a fortuna da herdeira. Porém, quanto mais tempo passa com Hideko, Sooke começa a entender as motivações da herdeira."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , 91%(5.8k)        , 96%                   , 8.1  (193k) , "['Mistério & Thriller', 'Drama', 'Romance', 'Suspense Romântico']"                                                                                           , 2h 25min                   , 18
Homem Macaco(2024)                                   , (2024), "['HBO Max Amazon Channel', 'Apple TV', 'Apple TV', 'Apple TV', 'Amazon Prime Video', 'Claro tv+', 'Amazon Video', 'Amazon Video', 'Claro video', 'HBO Max Amazon Channel', 'HBO Max']"                                                                                                                                 ,                      , "Com muito trauma de infância e raiva reprimida, Kid não processa suas emoções da melhor forma. Por isso, quando ele descobre uma maneira de entrar no enclave da elite medonha, ele desencadeia uma necessidade explosiva de se vingar de todos que fizeram mal."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , 85%(4.1k)        , 89%                   , 6.8  (95k)  , "['Ação & Aventura', 'Mistério & Thriller', 'Crime', 'Thriller de Ação']"                                                                                     , 2h 1min                    , 16
Tempo de Matar(1996)                                 , (1996), "['Amazon Prime Video', 'Disney Plus', 'Amazon Prime Video', 'Disney Plus', 'Amazon Prime Video', 'Amazon Video', 'Amazon Prime Video with Ads']"                                                                                                                                                                       ,                      , "Envolvido em marchas frenéticas de activistas, no terror do Klan, no clamor dos meios de comunicação e motins brutais, um jovem e idealista advogado elabora para o Tribunal uma defesa apaixonadamente, uma batalha pela justiça."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , 96%(8.1k)        , 67%                   , 7.5  (193k) , "['Crime', 'Drama', 'Mistério & Thriller', 'Tribunal', 'Direitos Civis e Justiça Social']"                                                                    , 2h 29min                   , 14
O Advogado do Diabo(1997)                            , (1997), "['HBO Max Amazon Channel', 'Apple TV', 'Apple TV', 'Apple TV', 'Amazon Prime Video', 'Claro tv+', 'Amazon Video', 'Amazon Video', 'HBO Max Amazon Channel', 'HBO Max']"                                                                                                                                                ,                      , "Um impressionante recorde de 64 casos vitoriosos proporcionou ao bem sucedido advogado Kevin Lomax uma tentadora proposta por parte de uma firma de advocacia Nova Iorque. Mas o cargo que aceitou não é o que parece: o Diabo está implícito nas entrelinhas, a sua vida, a sua mulher e a sua alma estão em jogo... um emprego que parecia o Céu poderá, afinal, levá-lo directamente para o Inferno."                                                                                                                                                                                                                                                                                                                                                                                                                                                        , 95%(14k)         , 63%                   , 7.5  (430k) , "['Drama', 'Mistério & Thriller', 'Terror', 'Fantasia', 'Terror Paranormal']"                                                                                 , 2h 24min                   , 16
Os Mauzões(2022)                                     , (2022), "['Apple TV', 'Apple TV', 'Apple TV', 'Amazon Prime Video', 'Amazon Video', 'Amazon Video', 'Claro video']"                                                                                                                                                                                                             ,                      , "Nunca houve cinco amigos tão infames como Os Mauzões –o Sr. Lobo, arrojado carteirista, o Sr. Cobra, arrombador de cofres que já viu de tudo, o Sr. Tubarão, descontraído mestre do disfarce, o Sr. Piranha, ‘músculo’ com pavio curto e a Sra. Tarântula, hacker de língua afiada, também conhecida como “Webs”.
                                                                                                                                                                                                                                                                                                                                                                                                                Mas quando, após anos de infindáveis assaltos e de serem os vilões mais procurados do mundo, o gangue é finalmente apanhado, o Sr. Lobo faz um acordo (o qual não tem qualquer intenção de cumprir) para os salvar a todos da prisão: Os Mauzões tornar-se-ão bonzinhos. Sob a tutela do seu mentor, o Professor, um arrogante (mas adorável!) porquinho-da-índia, Os Mauzões embarcam numa aventura para fazer com que o mundo acredite que mudaram. No caminho, o Sr. Lobo começa a suspeitar que fazer o bem talvez lhe traga algo que ele sempre procurou: aceitação. Mas quando um novo vilão ameaça a cidade, conseguirá o Sr. Lobo persuadir o resto do seu gangue a tornar-se... bonzinho?"                                                                                                                                                              , 90%(5.5k)        , 88%                   , 6.9  (72k)  , "['Família', 'Comédia', 'Crime', 'Ação & Aventura', 'Animação', 'Animação Para Toda a Família']"                                                              , 1h 40min                   , L
The Conjuring 4: Extrema-Unção(2025)                 , (2025), "['UCIcinemas', 'Cinesystem Cinemas', 'Amazon Prime Video', 'Kinoplex', 'Cineflix']"                                                                                                                                                                                                                                    ,                      , "Ed e Lorraine retornam em sua última investigação no caso aterrorizante com entidades misteriosas. O casal paranormal precisa encarar seus maiores medos, arriscando suas vidas mais uma vez na luta contra forças malignas que desafiam a compreensão."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , 80%(282)         , 58%                   , 6.5  (14k)  , "['Terror', 'Mistério & Thriller', 'Suspense de Terror']"                                                                                                     , 2h 16min                   , 16
Tenet(2020)                                          , (2020), "['HBO Max Amazon Channel', 'Apple TV', 'Apple TV', 'Netflix', 'Amazon Prime Video', 'Netflix Standard with Ads', 'Amazon Video', 'HBO Max Amazon Channel', 'HBO Max']"                                                                                                                                                 ,                      , "Armado apenas com uma palavra – Tenet – e lutando pela sobrevivência do planeta, o Protagonista viaja pelo mundo penumbroso da espionagem internacional numa missão que irá desvendar algo além do tempo real. Não se trata de uma viagem no tempo. Mas sim, uma inversão."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , 84%(46k)         , 70%                   , 7.3  (606k) , "['Mistério & Thriller', 'Ficção Científica', 'Ação & Aventura', 'Drama de Ficção Científica', 'Ficção Ciêntífica Cerebral', 'Thriller de Ação']"             , 2h 30min                   , 14
O Abismo(1989)                                       , (1989), "['Disney Plus', 'Disney Plus', 'Amazon Prime Video']"                                                                                                                                                                                                                                                                  ,                      , Uma equipa civil de mergulhadores é recrutada para procurar um submarino nuclear perdido e enfrenta perigos ao encontrar uma espécie aquática alienígena.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , 94%(5.8k)        , 89%                   , 7.5  (204k) , "['Mistério & Thriller', 'Drama', 'Ficção Científica', 'Robôs', 'Ação e Aventura']"                                                                           , 2h 18min                   , L
Predestinado(2014)                                   , (2014), "['Amazon Prime Video', 'Apple TV', 'Amazon Prime Video', 'Apple TV', 'Amazon Prime Video', 'Apple TV', 'Netflix', 'Netflix Standard with Ads', 'Amazon Video', 'Amazon Video', 'Amazon Prime Video with Ads']"                                                                                                         ,                      , "Um agente com a capacidade de viajar no tempo, chamado Agente Temporal, é enviado numa série de viagens com o objetivo de garantir a continuidade da sua carreira ao serviço da lei, para toda a eternidade. Para o conseguir e, naquela que poderá ser a sua derradeira missão, tem que perseguir e apanhar um criminoso que o tem enganado ao longo do tempo…"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , 91%(12k)         , 84%                   , 7.4  (326k) , "['Mistério & Thriller', 'Ficção Científica', 'Ação & Aventura', 'Drama', 'Ficção Ciêntífica Cerebral']"                                                      , 1h 37min                   , 16
Eddington(2025)                                      , (2025), "['JustWatch', 'Amazon Prime Video']"                                                                                                                                                                                                                                                                                   ,                      , "Em um filme da A24 se passando em 2020, o xerife (Joaquin Phoenix) de Eddington tenta lidar com o caos da cidade. Dirigido por Ari Aster, esta história cheia de tensão mostra o xerife concorrendo à prefeitura, enfrentando o prefeito atual (Pedro Pascal), refletindo a situação da cidade, com todos os vizinhos se voltando uns contra os outros."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , NAOAVALIADO      , NAOAVALIADO           ,             , ['2h 29min']                                                                                                                                                  , "Estados Unidos, Finlândia", L
Nova Iorque Fora de Horas(1985)                      , (1985), "['HBO Max Amazon Channel', 'Apple TV', 'Apple TV', 'Apple TV', 'Amazon Prime Video', 'Amazon Video', 'Amazon Video', 'NetMovies', 'Looke', 'Looke Amazon Channel', 'HBO Max Amazon Channel', 'HBO Max']"                                                                                                               ,                      , Um editor de texto comum tem a pior noite da sua vida depois de concordar em visitar uma rapariga no Soho que conheceu nessa noite num café.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , 88%(2.1k)        , 90%                   , 7.6  (91k)  , "['Comédia', 'Mistério & Thriller', 'Drama', 'Crime', 'Comédias Obscenas', 'Comédia Dramática']"                                                              , 1h 37min                   , 16
Dune - Duna: Parte Dois(2024)                        , (2024), "['HBO Max Amazon Channel', 'Apple TV', 'Apple TV', 'Apple TV', 'Amazon Prime Video', 'Netflix', 'Netflix Standard with Ads', 'Claro tv+', 'Amazon Video', 'Amazon Video', 'HBO Max Amazon Channel', 'HBO Max']"                                                                                                        ,                      , "Finalmente junto a Chani e os Fremen, Paul vai atrás de sua vingança, lutando contra todos que conspiraram para destruir sua família. Porém, como o único que consegue prever o futuro, Paul tem que decidir o que é mais importante: amor, vingança ou o futuro do universo."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , 95%(29k)         , 92%                   , 8.5  (663k) , "['Ficção Científica', 'Drama', 'Ação & Aventura', 'Ação e Aventura']"                                                                                        , 2h 47min                   , 14
Cidade dos Sonhos(2001)                              , (2001), "['Apple TV', 'Apple TV', 'Apple TV', 'Amazon Prime Video']"                                                                                                                                                                                                                                                            ,                      , "Mulholland Drive é uma estrada que atravessa a região serrana a Oeste de Hollywood. Nessa estrada, um acidente de carro faz com que uma jovem mulher perca completamente a memória, acabando por se refugiar na casa onde vive Betty, uma outra jovem que foi para a cidade a fim de tentar singrar no mundo do cinema. Ali, ela identifica-se como Rita, mas assume não saber se é realmente esse o seu nome. Juntas, vão tentar descobrir a verdade acerca de Rita, numa história de amor, ciúme, sucesso e fracasso, onde tudo é silêncio, sonho e ilusão... e nada, realmente nada, é o que parece ser."                                                                                                                                                                                                                                                    , 88%(9.9k)        , 84%                   , 7.9  (414k) , "['Mistério & Thriller', 'Drama', 'Thriller de Mistério']"                                                                                                    , 2h 27min                   , 14
